filename,opencv_count,opencv_time_ms,nano_count,nano_time_ms
001.jpg,189,55.6761,165,50.9539
002.jpg,194,40.5096,169,40.3313
003.jpg,192,39.9411,168,40.6033
004.jpg,198,41.9719,172,42.2572
005.jpg,187,45.1772,164,45.4581
006.jpg,210,48.3925,185,69.0289
007.jpg,186,36.1483,162,38.4362
008.jpg,186,33.96,160,33.9381
009.jpg,191,38.0866,163,38.391
010.jpg,179,34.9869,157,35.208
011.jpg,195,38.9081,171,36.8041
012.jpg,182,35.3454,161,36.469
013.jpg,112,37.635,66,37.2718
014.jpg,113,40.584,68,42.5242
015.jpg,230,34.1383,207,35.9881
016.jpg,227,35.9923,204,34.9118
017.jpg,232,36.7816,209,37.5548
018.jpg,228,35.9944,203,35.8171
019.jpg,227,36.3344,200,35.7147
020.jpg,224,32.185,204,34.176
021.jpg,227,35.0957,204,34.7749
022.jpg,225,34.5099,204,35.5926
023.jpg,230,35.2639,203,35.2295
024.jpg,228,34.5744,205,35.7189
025.jpg,229,36.0243,206,45.0738
026.jpg,227,34.6991,205,34.718
027.jpg,235,36.2691,205,37.9665
028.jpg,229,36.7061,204,37.0313
029.jpg,235,42.475,210,37.8034
030.jpg,233,36.7423,207,37.8467
031.jpg,230,34.6695,205,35.4407
032.jpg,235,39.3655,209,41.5361
033.jpg,235,61.1241,202,61.9034
034.jpg,231,69.6678,207,68.8657
035.jpg,230,77.7299,204,81.6133
036.jpg,228,42.043,206,39.2437
037.jpg,228,43.3615,207,41.4082
038.jpg,228,39.9801,200,42.2056
039.jpg,231,59.4593,204,62.4128
040.jpg,225,40.5163,201,38.4488
041.jpg,229,40.2675,205,38.3551
042.jpg,231,36.6956,205,37.5957
043.jpg,227,39.132,200,39.7036
044.jpg,230,37.0171,204,37.4775
045.jpg,229,41.8088,203,42.431
046.jpg,229,126.322,205,122.778
047.jpg,225,115.281,196,109.062
048.jpg,231,78.5417,202,83.9098
049.jpg,230,167.958,203,172.674
050.jpg,227,38.605,203,40.2324
051.jpg,230,39.6692,206,43.6829
052.jpg,230,41.0769,206,41.7676
053.jpg,231,40.4203,201,40.6052
054.jpg,231,38.6754,203,40.1388
055.jpg,231,39.6735,193,40.3831
056.jpg,233,38.1604,203,40.7385
057.jpg,231,45.145,202,44.7616
058.jpg,231,101.892,203,103.175
059.jpg,233,66.2896,203,67.386
060.jpg,233,67.0715,201,68.2541
061.jpg,232,114.134,203,113.774
062.jpg,232,67.1051,208,66.9302
063.jpg,227,54.4749,204,59.8383
064.jpg,229,140.749,200,143.321
065.jpg,229,235.017,207,236.918
066.jpg,229,381.318,204,375.269
067.jpg,222,441.808,199,446.593
068.jpg,217,310.009,191,321.953
069.jpg,223,251.302,201,245.973
